1|Rome,Italy|Meeting Italy|Serbian|,Jane,Austing,22,False|4|4/24/2024 12:00:00 AM|4/24/2024 12:00:00 AM|4/24/2024 10:50:05 PM|Invalid
2|Rome, Italy|Visit the iconic Colosseum|English|,Anna,Smith,31,False|4|5/15/2024 9:30:00 AM|5/15/2024 11:30:00 AM|4/28/2024 10:30:00 AM|Invalid
3|New York, USA|Enjoy a scenic Statue of Liberty cruise|English|,Michael,Johnson,45,False|4|6/10/2024 2:00:00 PM|6/10/2024 4:00:00 PM|4/28/2024 11:45:00 AM|Pending
4|Tokyo, Japan|Learn the art of sushi-making|English|,Sarah,Miller,62,False|4|7/5/2024 11:00:00 AM|7/15/2024 1:00:00 PM|4/28/2024 1:20:00 PM|Pending
5|Sydney, Australia|Take a guided tour of the iconic Opera House|English|,David,Brown,32,False|4|8/20/2024 10:30:00 AM|8/26/2024 12:30:00 PM|4/28/2024 3:40:00 PM|Pending
6|Rome, Italy|Visit the iconic Colosseum|English|,Anna,Smith,31,False|6|5/25/2025 9:30:00 AM|5/28/2025 11:30:00 AM|4/28/2024 10:30:00 AM|Accepted
7|Rome, Italy|Visit the iconic Colosseum|Serbian|,Anna,Smith,31,False|4|5/15/2022 9:30:00 AM|5/15/2022 11:30:00 AM|4/28/2022 10:30:00 AM|Invalid
8|Rome, Italy|Visit the iconic Colosseum|Serbian|,Anna,Smith,31,False|4|5/15/2023 9:30:00 AM|5/15/2023 11:30:00 AM|5/28/2023 10:30:00 AM|Invalid
9|Rome, Italy|Visit the iconic Colosseum|Serbian|,Anna,Smith,31,False|4|5/15/2023 9:30:00 AM|5/15/2023 11:30:00 AM|6/28/2023 10:30:00 AM|Invalid
10|Rome, Italy|Visit the iconic Colosseum|English|,Anna,Smith,31,False|4|5/15/2024 9:30:00 AM|5/15/2024 11:30:00 AM|4/28/2024 10:30:00 AM|Invalid
11|New York, USA|Enjoy a scenic Statue of Liberty cruise|English|,Michael,Johnson,45,False|4|6/10/2024 2:00:00 PM|7/10/2025 4:00:00 PM|4/28/2023 11:45:00 AM|Pending
